date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-06-03,2330,29629706,25053781742,839,853,837,846,25,40694
2024-06-04,2330,31031104,26107162214,844,851,837,839,-7,52392
2024-06-05,2330,37531781,31774150536,841,857,835,854,15,41869
2024-06-06,2330,67300344,60138015941,893,899,885,894,40,112332
2024-06-07,2330,44489018,39240336617,885,888,879,879,-15,85990
2024-06-11,2330,57435637,51091497348,892,895,883,883,4,47589
2024-06-12,2330,51874967,46791431521,888,914,888,909,26,74526
2024-06-13,2330,59656092,54980784829,923,935,911,919,0,98777
2024-06-14,2330,43289572,39603293460,916,922,905,922,3,62552
2024-06-17,2330,28796529,26475733502,913,925,913,921,-1,44582
2024-06-18,2330,40870419,38583515635,944,950,940,943,22,55791
2024-06-19,2330,76684138,74395758883,953,984,953,981,38,117235
2024-06-20,2330,52144900,50859632569,971,981,971,981,0,107978
2024-06-21,2330,97995843,94882220706,961,978,960,970,-11,131503
2024-06-24,2330,74081708,70162177693,958,960,940,940,-30,227255
2024-06-25,2330,62079701,57978440842,925,945,923,945,5,103844
2024-06-26,2330,48821135,46668874056,951,960,951,960,15,56563
2024-06-27,2330,41276086,39447006518,951,961,949,960,0,41133
2024-06-28,2330,42998776,41476565443,956,971,955,966,6,42853
2024-07-01,2330,20936005,20320957284,968,977,965,968,2,38293
2024-07-02,2330,27992930,26971516491,967,971,959,960,-8,38928
2024-07-03,2330,25022531,24386705873,976,979,967,979,19,36096
2024-07-04,2330,47251502,47347126144,1000,1010,997,1005,26,92002
2024-07-05,2330,21735614,21827958195,1005,1010,1000,1005,0,35802
2024-07-08,2330,45678332,47210175550,1005,1050,1000,1035,30,74909
2024-07-09,2330,54339957,56382512235,1030,1055,1025,1040,5,74954
2024-07-10,2330,51810372,53308027550,1020,1050,1015,1045,5,61199
2024-07-11,2330,49304453,52782475514,1065,1080,1055,1080,35,65005
2024-07-12,2330,79472761,82222185037,1030,1045,1025,1040,-40,175230
2024-07-15,2330,44123104,45805242410,1040,1045,1025,1040,0,51387
2024-07-16,2330,36244442,38188299315,1040,1070,1035,1055,15,42202
2024-07-17,2330,62390596,64372740657,1035,1045,1020,1030,-25,140918
2024-07-18,2330,94327431,93948039256,988,1005,986,1005,-25,305207
2024-07-19,2330,110541544,108678133437,988,995,970,970,-35,475484
2024-07-22,2330,90266550,85567920175,964,965,938,939,-31,307235
2024-07-23,2330,53439290,51686291065,963,979,956,979,40,96981
2024-07-26,2330,95625050,88299582909,915,930,915,924,-55,357707
2024-07-29,2330,44000914,41481319942,942,948,936,944,20,78605
2024-07-30,2330,45996400,42988422577,930,949,926,940,-4,86139
2024-07-31,2330,47407263,44270020990,929,940,928,934,-6,62829
2024-08-01,2330,50257642,48211390158,969,969,948,960,26,66845
2024-08-02,2330,89044852,81488499047,918,928,903,903,-57,451562
2024-08-05,2330,159662795,133482646539,852,857,813,815,-88,588373
2024-08-06,2330,108521787,94271532567,868,895,840,880,65,189677
2024-08-07,2330,62643163,56900026373,901,920,893,920,40,109333
2024-08-08,2330,41288222,37045507217,901,905,887,896,-24,107303
2024-08-09,2330,54464183,50586946042,927,934,922,934,38,94661
2024-08-12,2330,40968742,38572439136,942,948,931,940,6,73731
2024-08-13,2330,26831364,25227760336,945,945,937,941,1,39633
2024-08-14,2330,40527779,38507151446,951,955,945,948,7,56190
2024-08-15,2330,21714163,20528538286,945,950,941,943,-5,42553
2024-08-16,2330,49830670,48022581452,963,969,958,969,26,86023
2024-08-19,2330,22416274,21737948903,969,975,964,973,4,43467
2024-08-20,2330,26420625,25701355510,977,977,968,973,0,43667
2024-08-21,2330,32606816,31287150192,961,964,956,958,-15,83432
2024-08-22,2330,25850379,24661701935,958,964,948,951,-7,58791
2024-08-23,2330,31203321,29530574857,944,952,939,949,-2,57023
2024-08-26,2330,26518126,25271527066,957,961,945,950,1,50970
2024-08-27,2330,19969925,18819208932,945,946,940,942,-8,53273
2024-08-28,2330,33519083,31994192847,945,964,943,964,22,45785
2024-08-29,2330,46275772,43616354135,942,947,937,943,-21,103424
2024-08-30,2330,75533393,71355905880,944,952,941,944,1,34366
2024-09-02,2330,19272593,18270058260,950,955,943,948,4,31642
2024-09-03,2330,23205623,21908471541,948,952,939,940,-8,47139
2024-09-04,2330,93169835,83424133824,894,905,888,889,-51,393210
2024-09-05,2330,34147890,30998595394,907,915,900,902,13,63902
2024-09-06,2330,28248063,25786016936,909,918,903,918,16,38415
2024-09-09,2330,38448946,34456838126,892,900,891,899,-19,102365
2024-09-10,2330,34312646,31067424234,907,911,901,904,5,45141
2024-09-11,2330,19513256,17621000956,906,906,900,901,-3,30789
2024-09-12,2330,43749260,40999951508,936,944,928,940,0,80643
2024-09-13,2330,28307441,26795862243,955,955,939,947,7,39071
2024-09-16,2330,14456888,13692259575,952,952,943,947,0,26421
2024-09-18,2330,30094662,28303054525,945,948,933,941,-6,46622
2024-09-19,2330,35254383,33482773635,940,960,936,960,19,53494
2024-09-20,2330,66762167,65105344444,981,982,971,973,13,67911
2024-09-23,2330,15399658,15013916758,971,977,971,977,4,26106
2024-09-24,2330,29324170,28726805585,976,987,971,987,10,63433
2024-09-25,2330,43039991,43053012337,1000,1005,998,1005,18,82005
2024-09-26,2330,43341810,43835515361,1010,1015,1005,1015,10,78670
2024-09-27,2330,37665070,38074974690,1020,1025,1000,1000,-15,52093
2024-09-30,2330,66874949,65017701862,978,990,957,957,-43,166934
2024-10-01,2330,27877267,27093881327,967,977,967,972,15,37862
2024-10-04,2330,43765757,42845984122,986,986,967,977,5,43935
2024-10-07,2330,43850831,43905376215,993,1010,989,1005,28,79851
2024-10-08,2330,35344059,35503172585,1000,1010,997,1010,5,42227
2024-10-09,2330,53208610,54663169800,1030,1035,1020,1020,10,80835
2024-10-11,2330,47776351,49706577415,1025,1050,1020,1045,25,89915
2024-10-14,2330,39906157,41745442865,1045,1055,1035,1045,0,49228
2024-10-15,2330,52066470,55504081569,1050,1075,1050,1070,25,88895
2024-10-16,2330,60312846,63228552464,1040,1070,1035,1045,-25,69585
2024-10-17,2330,56618332,58862054838,1050,1055,1030,1035,-10,58589
2024-10-18,2330,91036335,99230303460,1095,1100,1075,1085,50,132797
2024-10-21,2330,42094031,45813114865,1090,1095,1080,1085,0,43553
2024-10-22,2330,43740591,46707090730,1065,1075,1060,1075,-10,56089
2024-10-23,2330,32895421,34912308143,1060,1070,1055,1060,-15,40549
2024-10-24,2330,40791484,43477824029,1070,1075,1055,1060,0,42113
2024-10-25,2330,23347890,24867260319,1065,1070,1060,1065,5,25884
2024-10-28,2330,41665065,44216316045,1075,1080,1050,1050,-15,55098
2024-10-29,2330,48097705,49680152085,1035,1040,1020,1040,-10,93617
2024-10-30,2330,40765247,42368799669,1040,1055,1030,1030,-10,46750
2024-11-01,2330,61545741,62269386415,996,1030,996,1025,-5,77404
2024-11-04,2330,28225506,29263376605,1030,1045,1025,1040,15,33492
2024-11-05,2330,33407780,34851674542,1030,1055,1030,1050,10,28872
2024-11-06,2330,59404980,63110184620,1050,1080,1040,1060,10,58611
2024-11-07,2330,46030563,48979606039,1050,1075,1050,1065,5,41583
2024-11-08,2330,38840413,42224017162,1085,1090,1080,1090,25,58203
2024-11-11,2330,36630666,39467913757,1080,1090,1070,1085,-5,48859
2024-11-12,2330,54098799,57135037210,1060,1065,1050,1050,-35,92756
2024-11-13,2330,46420969,48395649023,1045,1050,1035,1035,-15,75428
2024-11-14,2330,49328914,50864201443,1030,1040,1025,1035,0,62545
2024-11-15,2330,37405855,38824519360,1040,1045,1030,1035,0,38669
2024-11-18,2330,33583180,34422999050,1030,1035,1020,1025,-10,56311
2024-11-19,2330,25497606,26433399155,1030,1045,1025,1040,15,26315
2024-11-20,2330,40203197,41541948790,1045,1050,1020,1025,-15,53280
2024-11-21,2330,44679981,45374625920,1020,1025,1010,1010,-15,67481
2024-11-22,2330,32509453,33754431973,1035,1050,1035,1040,30,28859
2024-11-25,2330,54443912,56293841760,1045,1050,1030,1030,-10,34710
2024-11-26,2330,31309332,31750783325,1015,1020,1010,1010,-20,79568
2024-11-27,2330,34602143,34822499480,1010,1020,1000,1000,-10,111382
2024-11-28,2330,37166049,37181706464,1005,1005,992,1005,5,82426
2024-11-29,2330,43621329,43637043385,995,1010,994,996,-9,47567
2024-12-02,2330,33333423,34325585125,1020,1040,1015,1035,39,42112
2024-12-03,2330,48632084,51509603939,1060,1065,1055,1055,20,55988
2024-12-04,2330,35431584,37738286825,1065,1070,1055,1070,15,45553
2024-12-05,2330,41293183,44420331699,1070,1080,1070,1075,5,51311
2024-12-06,2330,32090124,34306935479,1075,1080,1060,1065,-10,33697
2024-12-09,2330,30255281,32409791931,1070,1075,1065,1075,10,25230
2024-12-10,2330,32359253,34496134808,1070,1075,1060,1065,-10,31326
2024-12-11,2330,26948940,28278772503,1045,1060,1045,1045,-20,47194
2024-12-12,2330,26574460,28185087817,1060,1065,1055,1060,0,25096
2024-12-13,2330,24329785,25873117992,1060,1070,1055,1065,5,25787
2024-12-16,2330,43679921,47253709874,1085,1085,1075,1085,20,53568
2024-12-17,2330,40033595,43428037809,1090,1095,1075,1075,-10,42830
2024-12-18,2330,47331164,51170937776,1075,1090,1070,1085,10,40248
2024-12-19,2330,46126529,49061396399,1065,1070,1055,1070,-15,62146
2024-12-20,2330,56392109,58923043065,1060,1060,1035,1035,-35,85875
2024-12-23,2330,32800319,35200907996,1065,1080,1060,1080,45,39942
2024-12-24,2330,30069757,32689957470,1095,1095,1080,1080,0,36423
2024-12-25,2330,16186220,17591123835,1090,1090,1080,1085,5,28032
2024-12-26,2330,15017636,16328335510,1085,1090,1085,1085,0,23380
2024-12-27,2330,26151993,28531251520,1080,1095,1080,1090,5,40184
2024-12-30,2330,27437455,29944447716,1090,1095,1085,1090,0,28373
2024-12-31,2330,29239004,31511634720,1080,1085,1075,1075,-15,32969
2025-01-02,2330,45045125,47883206644,1070,1075,1055,1065,-10,74997
2025-01-03,2330,31244211,33728652860,1080,1085,1075,1075,10,28227
2025-01-06,2330,77874801,86585128825,1100,1125,1095,1125,50,130021
2025-01-07,2330,54691485,62664127156,1150,1160,1130,1130,5,70657
2025-01-08,2330,49181518,54760296689,1110,1130,1105,1105,-25,71736
2025-01-09,2330,29916198,33052210793,1100,1115,1100,1100,-5,51544
2025-01-10,2330,24475751,26996697889,1100,1110,1100,1100,0,38027
2025-01-13,2330,62629547,68093421797,1110,1115,1070,1075,-25,118516
2025-01-14,2330,31280235,33915048410,1085,1090,1075,1090,15,32218
2025-01-15,2330,37966582,40677529813,1085,1085,1065,1065,-25,74906
2025-01-16,2330,49872673,54934128041,1095,1115,1090,1105,40,54389
